source_type,reference_code,generic_name,trade_name,dosage_form,manufacturer,status
TMT,1049236,F 12249,0.0001% DPCP,"(diphenylcyclopropenone 100 mcg/100 mL) cutaneous solution, 5 mL bottle",สถาบันโรคผิวหนัง,ACTIVE
TMT,1049289,F 12249,0.0005% DPCP,"(diphenylcyclopropenone 500 mcg/100 mL) cutaneous solution, 5 mL bottle",สถาบันโรคผิวหนัง,ACTIVE
TMT,1049338,F 12249,0.001% DPCP,"(diphenylcyclopropenone 1 mg/100 mL) cutaneous solution, 5 mL bottle",สถาบันโรคผิวหนัง,ACTIVE
TMT,1049386,F 12249,0.005% DPCP,"(diphenylcyclopropenone 5 mg/100 mL) cutaneous solution, 5 mL bottle",สถาบันโรคผิวหนัง,ACTIVE
TMT,1270858,M 13756,0.01% ATROPINE EYE DROP 10 ML,"(atropine sulfate 10 mg/100 mL) eye drops, solution, 10 mL bottle","จุฬาลงกรณ์ สภากาชาดไทย,รพ.",ACTIVE
TMT,1049431,F 12249,0.01% DPCP,"(diphenylcyclopropenone 10 mg/100 mL) cutaneous solution, 5 mL bottle",สถาบันโรคผิวหนัง,ACTIVE
TMT,1182053,F 13777,0.02% MITOMYCIN-C EYE DROPS,"(mitomycin 20 mg/100 mL) eye drops, solution, 10 mL bottle",โรงพยาบาลศรีนครินทร์,ACTIVE
TMT,1354274,F 10666,0.02% TA CREAM 30 G,"(triamcinolone acetonide 20 mg/100 g) cream, 30 g tube",โรงพยาบาลมหาราชนครราชสีมา,ACTIVE
TMT,1049483,F 12249,0.025% DPCP,"(diphenylcyclopropenone 25 mg/100 mL) cutaneous solution, 5 mL bottle",สถาบันโรคผิวหนัง,ACTIVE
TMT,1182114,F 13777,0.04% MITOMYCIN-C EYE DROPS,"(mitomycin 40 mg/100 mL) eye drops, solution, 10 mL bottle",โรงพยาบาลศรีนครินทร์,ACTIVE
TMT,1049533,F 12249,0.05% DPCP,"(diphenylcyclopropenone 50 mg/100 mL) cutaneous solution, 5 mL bottle",สถาบันโรคผิวหนัง,ACTIVE
TMT,1271698,M 13777,0.05% VORICONAZOLE EYE INJECTION,"(voriconazole 50 mg/100 mL) solution for injection, 0.2 mL prefilled syr",โรงพยาบาลศรีนครินทร์,ACTIVE
TMT,1178098,F 12499,0.1 %TA + 5 % LCD CREAM,"(coal tar 5 mL/100 g + triamcinolone acetonide 100 mg/100 g) cream, 10 g jar",สำนักอนามัยกรุงเทพมหานคร,ACTIVE
TMT,1174122,F 12499,0.1 %TA + 5 % LCD CREAM,"(coal tar 5 mL/100 g + triamcinolone acetonide 100 mg/100 g) cream, 250 g jar",สำนักอนามัยกรุงเทพมหานคร,ACTIVE
TMT,1201702,F 12499,0.1 %TA + 5 % LCD CREAM,"(coal tar 5 mL/100 g + triamcinolone acetonide 100 mg/100 g) cream, 50 g jar",สำนักอนามัยกรุงเทพมหานคร,ACTIVE
TMT,1049580,F 12249,0.1% DPCP,"(diphenylcyclopropenone 100 mg/100 mL) cutaneous solution, 5 mL bottle",สถาบันโรคผิวหนัง,ACTIVE
TMT,1220864,F 12499,0.1% T.A. + 2% SALICYLIC ACID OINTMENT,"(salicylic acid 2 g/100 g + triamcinolone acetonide 100 mg/100 g) ointment, 50 g jar",สำนักอนามัยกรุงเทพมหานคร,ACTIVE
TMT,1178120,F 12499,0.1% TA + 10% UREA CREAM,"(triamcinolone acetonide 100 mg/100 g + urea 10 g/100 g) cream, 10 g jar",สำนักอนามัยกรุงเทพมหานคร,ACTIVE
TMT,1174179,F 12499,0.1% TA + 10% UREA CREAM,"(triamcinolone acetonide 100 mg/100 g + urea 10 g/100 g) cream, 250 g jar",สำนักอนามัยกรุงเทพมหานคร,ACTIVE
TMT,1196998,F 12499,0.1% TA + 10% UREA CREAM,"(triamcinolone acetonide 100 mg/100 g + urea 10 g/100 g) cream, 50 g jar",สำนักอนามัยกรุงเทพมหานคร,ACTIVE
TMT,1178177,F 12499,0.1% TA + 2% SALICYLIC ACID OINTMENT,"(salicylic acid 2 g/100 g + triamcinolone acetonide 100 mg/100 g) ointment, 10 g jar",สำนักอนามัยกรุงเทพมหานคร,ACTIVE
TMT,1178219,F 12499,0.1% TA + 2% SALICYLIC ACID OINTMENT,"(salicylic acid 2 g/100 g + triamcinolone acetonide 100 mg/100 g) ointment, 250 g jar",สำนักอนามัยกรุงเทพมหานคร,ACTIVE
TMT,1352336,F 10666,0.1% TA CREAM 120 G,"(triamcinolone acetonide 100 mg/100 g) cream, 120 g jar",โรงพยาบาลมหาราชนครราชสีมา,ACTIVE
