source_type,reference_code,generic_name,trade_name,dosage_form,manufacturer,status
TTMT,9000400,ขมิ้นชัน,ขมิ้นชัน,ยาแคปซูล,โรงพยาบาลพระปกเกล้า,ACTIVE
TTMT,9000459,ฟ้าทะลายโจร,ฟ้าทะลายโจร,ยาแคปซูล,โรงพยาบาลพระปกเกล้า,ACTIVE
TTMT,9001267,ฟ้าทะลายโจร,ฟ้าทะลายโจร,ยาแคปซูล,โรงพยาบาลมหาราชนครราชสีมา,ACTIVE
TTMT,9001279,หญ้าหนวดแมว,หญ้าหนวดแมว,ยาชง,โรงพยาบาลมหาราชนครราชสีมา,ACTIVE
TTMT,9001687,ขมิ้นชัน,ขมิ้นชัน,ยาแคปซูล,โรงพยาบาลสรรพสิทธิประสงค์,ACTIVE
TTMT,9001694,ไพล,ไพล,ครีม,โรงพยาบาลสรรพสิทธิประสงค์,ACTIVE
TTMT,9001706,ฟ้าทะลายโจร,ฟ้าทะลายโจร,ยาแคปซูล,โรงพยาบาลสรรพสิทธิประสงค์,ACTIVE
TTMT,9002120,พญายอ,พญายอ,สารละลายสำหรับป้ายปาก,โรงพยาบาลอุตรดิตถ์,ACTIVE
TTMT,9002131,พญายอ,พญายอ,ขี้ผึ้ง,โรงพยาบาลอุตรดิตถ์,ACTIVE
TTMT,9002149,พญายอ,พญายอ,ครีม,โรงพยาบาลอุตรดิตถ์,ACTIVE
TTMT,9002154,พลู,พลู,ยาน้ำแขวนตะกอน,โรงพยาบาลอุตรดิตถ์,ACTIVE
TTMT,9002165,พลู,พลู,ครีม,โรงพยาบาลอุตรดิตถ์,ACTIVE
TTMT,9002177,ไพล,ไพล,ครีม,โรงพยาบาลอุตรดิตถ์,ACTIVE
TTMT,9003783,ขมิ้นชัน,ขมิ้นชัน,ยาแคปซูล,โรงพยาบาลอินทร์บุรี,ACTIVE
TTMT,9003806,พญายอ,พญายอ,ครีม,โรงพยาบาลอินทร์บุรี,ACTIVE
TTMT,9003810,พญายอ,พญายอ,สารละลายสำหรับป้ายปาก,โรงพยาบาลอินทร์บุรี,ACTIVE
TTMT,9003847,ฟ้าทะลายโจร,ฟ้าทะลายโจร,ยาแคปซูล,โรงพยาบาลอินทร์บุรี,ACTIVE
TTMT,9004258,ขมิ้นชัน,ขมิ้นชัน,ยาแคปซูล,โรงพยาบาลหนองคาย,ACTIVE
TTMT,9004262,ฟ้าทะลายโจร,ฟ้าทะลายโจร,ยาแคปซูล,โรงพยาบาลหนองคาย,ACTIVE
TTMT,9005122,ไพล,ไพล,ครีม,โรงพยาบาลนครพิงค์,ACTIVE
TTMT,9005935,พญายอ,พญายอ,ครีม,โรงพยาบาลศรีสังวาลย์,ACTIVE
TTMT,9007164,พริก,พริก,ครีม,โรงพยาบาลเพชรบูรณ์,ACTIVE
TTMT,9007571,พญายอ,คาลาไมด์พญายอ,ยาน้ำแขวนตะกอน,โรงพยาบาลดำเนินสะดวก,ACTIVE
TTMT,9007585,พญายอ,พญายอเจล,เจล,โรงพยาบาลดำเนินสะดวก,ACTIVE
TTMT,9007592,พญายอ,พญายอ,ยาครีมสำหรับป้ายปาก,โรงพยาบาลดำเนินสะดวก,ACTIVE
TTMT,9007603,พริก,เจลพริก,เจล,โรงพยาบาลดำเนินสะดวก,ACTIVE
TTMT,9008423,ขมิ้นชัน,ขมิ้นชัน,ยาแคปซูล,โรงพยาบาลกระบี่,ACTIVE
TTMT,9008434,ขิง,ขิง,ยาแคปซูล,โรงพยาบาลกระบี่,ACTIVE
TTMT,9008447,ชุมเห็ดเทศ,ชุมเห็ดเทศ,ยาแคปซูล,โรงพยาบาลกระบี่,ACTIVE
TTMT,9008468,พญายอ,พญายอ,ครีม,โรงพยาบาลกระบี่,ACTIVE
TTMT,9008475,พญายอ,พญายอ,สารละลายสำหรับป้ายปาก,โรงพยาบาลกระบี่,ACTIVE
TTMT,9008499,ฟ้าทะลายโจร,ฟ้าทะลายโจร,ยาแคปซูล,โรงพยาบาลกระบี่,ACTIVE
TTMT,9009310,รางจืด,รางจืด,ยาชง,โรงพยาบาลพัทลุง,ACTIVE
TTMT,9009323,หญ้าหนวดแมว,หญ้าหนวดแมว,ยาชง,โรงพยาบาลพัทลุง,ACTIVE
TTMT,9010132,ขมิ้นชัน,ขมิ้นชัน,ยาแคปซูล,โรงพยาบาลบางซ้าย,ACTIVE
TTMT,9010178,ฟ้าทะลายโจร,ฟ้าทะลายโจร,ยาแคปซูล,โรงพยาบาลบางซ้าย,ACTIVE
TTMT,9010184,มะขามแขก,มะขามแขก,ยาแคปซูล,โรงพยาบาลบางซ้าย,ACTIVE
TTMT,9010197,มะระขี้นก,มะระขี้นก,ยาแคปซูล,โรงพยาบาลบางซ้าย,ACTIVE
TTMT,9010653,มะขามแขก,มะขามแขก,ยาแคปซูล,โรงพยาบาลโพธิ์ทอง,ACTIVE
TTMT,9010669,มะระขี้นก,มะระขี้นก,ยาแคปซูล,โรงพยาบาลโพธิ์ทอง,ACTIVE
TTMT,9010676,รางจืด,รางจืด,ยาชง,โรงพยาบาลโพธิ์ทอง,ACTIVE
TTMT,9010682,หญ้าหนวดแมว,หญ้าหนวดแมว,ยาชง,โรงพยาบาลโพธิ์ทอง,ACTIVE
TTMT,9011149,ฟ้าทะลายโจร,ฟ้าทะลายโจร,ยาแคปซูล,โรงพยาบาลวิเศษชัยชาญ,ACTIVE
TTMT,9011154,มะขามแขก,มะขามแขก,ยาแคปซูล,โรงพยาบาลวิเศษชัยชาญ,ACTIVE
TTMT,9011165,มะระขี้นก,มะระขี้นก,ยาแคปซูล,โรงพยาบาลวิเศษชัยชาญ,ACTIVE
TTMT,9011177,รางจืด,รางจืด,ยาชง,โรงพยาบาลวิเศษชัยชาญ,ACTIVE
TTMT,9011183,หญ้าปักกิ่ง,หญ้าปักกิ่ง,ยาแคปซูล,โรงพยาบาลวิเศษชัยชาญ,ACTIVE
TTMT,9011196,หญ้าหนวดแมว,หญ้าหนวดแมว,ยาชง,โรงพยาบาลวิเศษชัยชาญ,ACTIVE
TTMT,9011623,มะขามแขก,มะขามแขก,ยาแคปซูล,โรงพยาบาลสามโก้,ACTIVE
TTMT,9011634,มะระขี้นก,มะระขี้นก,ยาแคปซูล,โรงพยาบาลสามโก้,ACTIVE
TTMT,9012042,ฟ้าทะลายโจร,ฟ้าทะลายโจร,ยาแคปซูล,โรงพยาบาลหนองม่วง,ACTIVE
TTMT,9012455,ฟ้าทะลายโจร,ฟ้าทะลายโจร,ยาแคปซูล,โรงพยาบาลพรหมบุรี,ACTIVE
TTMT,9013264,ขมิ้นชัน,ขมิ้นชัน,ยาแคปซูล,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9013272,เถาวัลย์เปรียง,เถาวัลย์เปรียง,ยาแคปซูล,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9013293,บัวบก,บัวบก,ยาแคปซูล,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9013303,ฟ้าทะลายโจร,ฟ้าทะลายโจร,ยาแคปซูล,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9013319,มะระขี้นก,มะระขี้นก,ยาแคปซูล,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9013326,ว่านชักมดลูก,ว่านชักมดลูก,ยาแคปซูล,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9014535,กระเทียม,Allium cap,ยาแคปซูล,โรงพยาบาลหนองโดน,ACTIVE
TTMT,9014542,ขมิ้นชัน,ขมิ้นชัน,ยาแคปซูล,โรงพยาบาลหนองโดน,ACTIVE
TTMT,9014557,คำฝอย,Carthamus powder,ยาชง,โรงพยาบาลหนองโดน,ACTIVE
TTMT,9014561,คำฝอย,Carthamus cap,ยาแคปซูล,โรงพยาบาลหนองโดน,ACTIVE
TTMT,9014574,บอระเพ็ด,Timospora cap,ยาแคปซูล,โรงพยาบาลหนองโดน,ACTIVE
TTMT,9014588,พญายอ,Clinacanthus tincture,ทิงเจอร์,โรงพยาบาลหนองโดน,ACTIVE
